#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.15896  0.12303 -0.05029 -1.18861  0.000000  0.000000  0.000000     1.000
   1.17333  0.13730 -0.05207 -1.18789  0.000000  0.000000  0.000000     1.000
   1.18807  0.15196 -0.05365 -1.18643  0.000000  0.000000  0.000000     1.000
   1.20311  0.16693 -0.05503 -1.18441  0.000000  0.000000  0.000000     1.000
   1.21837  0.18214 -0.05622 -1.18209  0.000000  0.000000  0.000000     1.000
   1.23381  0.19755 -0.05723 -1.17927  0.000000  0.000000  0.000000     1.000
   1.24941  0.21313 -0.05807 -1.17624  0.000000  0.000000  0.000000     1.000
   1.26514  0.22884 -0.05875 -1.17296  0.000000  0.000000  0.000000     1.000
   1.28097  0.24467 -0.05927 -1.16948  0.000000  0.000000  0.000000     1.000
   1.29691  0.26060 -0.05965 -1.16588  0.000000  0.000000  0.000000     1.000
   1.31293  0.27662 -0.05989 -1.16206  0.000000  0.000000  0.000000     1.000
   1.32903  0.29272 -0.06001 -1.15818  0.000000  0.000000  0.000000     1.000
   1.34519  0.30888 -0.06000 -1.15417  0.000000  0.000000  0.000000     1.000
   1.36143  0.32511 -0.05988 -1.15015  0.000000  0.000000  0.000000     1.000
   1.37771  0.34140 -0.05965 -1.14593  0.000000  0.000000  0.000000     1.000
   1.39406  0.35774 -0.05932 -1.14180  0.000000  0.000000  0.000000     1.000
   1.41045  0.37412 -0.05889 -1.13760  0.000000  0.000000  0.000000     1.000
   1.42688  0.39055 -0.05837 -1.13335  0.000000  0.000000  0.000000     1.000
   1.44336  0.40701 -0.05776 -1.12900  0.000000  0.000000  0.000000     1.000
   1.45987  0.42351 -0.05707 -1.12480  0.000000  0.000000  0.000000     1.000
   1.47642  0.44004 -0.05630 -1.12049  0.000000  0.000000  0.000000     1.000
   1.49300  0.45660 -0.05546 -1.11609  0.000000  0.000000  0.000000     1.000
   1.50961  0.47319 -0.05455 -1.11192  0.000000  0.000000  0.000000     1.000
   1.52625  0.48980 -0.05357 -1.10755  0.000000  0.000000  0.000000     1.000
   1.54292  0.50644 -0.05253 -1.10327  0.000000  0.000000  0.000000     1.000
   1.55961  0.52309 -0.05143 -1.09900  0.000000  0.000000  0.000000     1.000
   1.57632  0.53976 -0.05026 -1.09465  0.000000  0.000000  0.000000     1.000
   1.59305  0.55645 -0.04905 -1.09034  0.000000  0.000000  0.000000     1.000
   1.60980  0.57315 -0.04778 -1.08611  0.000000  0.000000  0.000000     1.000
   1.62657  0.58987 -0.04646 -1.08178  0.000000  0.000000  0.000000     1.000
   1.64335  0.60659 -0.04509 -1.07741  0.000000  0.000000  0.000000     1.000
   1.66015  0.62333 -0.04367 -1.07307  0.000000  0.000000  0.000000     1.000
   1.67696  0.64008 -0.04221 -1.06870  0.000000  0.000000  0.000000     1.000
   1.69378  0.65683 -0.04071 -1.06431  0.000000  0.000000  0.000000     1.000
   1.71061  0.67359 -0.03916 -1.05985  0.000000  0.000000  0.000000     1.000
   1.72745  0.69035 -0.03757 -1.05539  0.000000  0.000000  0.000000     1.000
   1.74429  0.70712 -0.03594 -1.05067  0.000000  0.000000  0.000000     1.000
   1.76115  0.72389 -0.03428 -1.04608  0.000000  0.000000  0.000000     1.000
   1.77800  0.74066 -0.03257 -1.04119  0.000000  0.000000  0.000000     1.000
