#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.23381  0.19755 -0.05723 -1.17771  0.002715  0.001031  0.006746     2.633
   1.24941  0.21313 -0.05807 -1.17463  0.002862  0.001081  0.006269     2.648
   1.26514  0.22884 -0.05875 -1.17133  0.003009  0.001130  0.005838     2.663
   1.28097  0.24467 -0.05927 -1.16781  0.003159  0.001179  0.005436     2.680
   1.29691  0.26060 -0.05965 -1.16414  0.003309  0.001227  0.005069     2.696
   1.31293  0.27662 -0.05989 -1.16030  0.003463  0.001276  0.004721     2.715
   1.32903  0.29272 -0.06001 -1.15635  0.003619  0.001324  0.004399     2.733
   1.34519  0.30888 -0.06000 -1.15230  0.003777  0.001372  0.004096     2.753
   1.36143  0.32511 -0.05988 -1.14816  0.003939  0.001420  0.003811     2.773
   1.37771  0.34140 -0.05965 -1.14395  0.004105  0.001469  0.003540     2.795
   1.39406  0.35774 -0.05932 -1.13968  0.004275  0.001517  0.003284     2.818
   1.41045  0.37412 -0.05889 -1.13538  0.004448  0.001565  0.003042     2.842
   1.42688  0.39055 -0.05837 -1.13102  0.004628  0.001613  0.002808     2.869
   1.44336  0.40701 -0.05776 -1.12664  0.004814  0.001662  0.002583     2.897
   1.45987  0.42351 -0.05707 -1.12224  0.005005  0.001710  0.002370     2.926
   1.47642  0.44004 -0.05630 -1.11783  0.005204  0.001759  0.002163     2.959
   1.49300  0.45660 -0.05546 -1.11340  0.005413  0.001808  0.001961     2.994
   1.50961  0.47319 -0.05455 -1.10900  0.005628  0.001857  0.001769     3.031
   1.52625  0.48980 -0.05357 -1.10460  0.005856  0.001906  0.001580     3.072
   1.54292  0.50644 -0.05253 -1.10022  0.006096  0.001955  0.001397     3.118
   1.55961  0.52309 -0.05143 -1.09589  0.006348  0.002005  0.001219     3.167
   1.57632  0.53976 -0.05026 -1.09160  0.006616  0.002054  0.001045     3.221
   1.59305  0.55645 -0.04905 -1.08737  0.006901  0.002103  0.000877     3.282
   1.60980  0.57315 -0.04778 -1.08324  0.007203  0.002152  0.000716     3.348
   1.62657  0.58987 -0.04646 -1.07920  0.007526  0.002200  0.000561     3.421
   1.64335  0.60659 -0.04509 -1.07529  0.007872  0.002247  0.000413     3.503
   1.66015  0.62333 -0.04367 -1.07152  0.008241  0.002294  0.000274     3.592
   1.67696  0.64008 -0.04221 -1.06792  0.008635  0.002340  0.000147     3.691
   1.69378  0.65683 -0.04071 -1.06449  0.009055  0.002384  0.000031     3.798
   1.71061  0.67359 -0.03916 -1.06125  0.009502  0.002427 -0.000072     3.916
   1.72745  0.69035 -0.03757 -1.05819  0.009977  0.002468 -0.000160     4.042
   1.74429  0.70712 -0.03594 -1.05531  0.010482  0.002508 -0.000233     4.179
   1.76115  0.72389 -0.03428 -1.05259  0.011012  0.002547 -0.000290     4.324
   1.77800  0.74066 -0.03257 -1.05003  0.011572  0.002585 -0.000333     4.477
   1.79486  0.75742 -0.03083 -1.04764  0.012158  0.002621 -0.000363     4.639
   1.81172  0.77419 -0.02905 -1.04544  0.012770  0.002655 -0.000381     4.810
   1.82858  0.79095 -0.02723 -1.04340  0.013408  0.002688 -0.000390     4.988
   1.84544  0.80771 -0.02537 -1.04154  0.014072  0.002719 -0.000392     5.175
   1.86230  0.82446 -0.02348 -1.03982  0.014752  0.002749 -0.000389     5.366
   1.87915  0.84120 -0.02155 -1.03825  0.015458  0.002777 -0.000385     5.566
   1.89599  0.85793 -0.01959 -1.03682  0.016175  0.002804 -0.000377     5.769
   1.91281  0.87462 -0.01759 -1.03550  0.016903  0.002829 -0.000368     5.975
   1.92958  0.89128 -0.01556 -1.03429  0.017639  0.002853 -0.000360     6.182
   1.94627  0.90784 -0.01350 -1.03317  0.018370  0.002876 -0.000352     6.388
   1.96279  0.92422 -0.01142 -1.03215  0.019089  0.002898 -0.000345     6.588
   1.97896  0.94026 -0.00934 -1.03120  0.019779  0.002918 -0.000339     6.778
   1.99450  0.95567 -0.00731 -1.03034  0.020414  0.002937 -0.000334     6.950
